ISO;pais;desenvolvido;ano;unemployment;ppp;ppp_2011;gdp_npc;gross_fixed;share_manuf_gdp;sahre_ind_gdp;share_ind_emplo;export_devel;export_industrial;export_manuf;import_devel;import_industrial;import_manuf;exp_imp_manuf;exp_imp_ind;exp_imp_dev;l_ppp;l_ppp_2011;l2_ppp;l2_ppp_2011;r_exp_imp_manuf;r_export_manuf;r_import_manuf
JAM;Jamaica;0;2015;13,5;8766,54;8232,55;24669000000;21,1547;7,8584;19,1625;15,508;160580920;987164065;91573618;2215457822;2680591452;91573618;183147236;3667755517;2376038742;9,0787;9,0159;82,4227;81,2856;0,0074;0,0037;0,0037
JPN;Japan;1;1995;3,15;23641,77;32425,93;2,97E+18;29,5431;23,4705;34,4147;33,691;2,25E+11;2,09E+11;4,21E+11;1,69E+11;1,57E+11;4,21E+11;8,43E+11;3,66E+11;3,94E+11;10,0708;10,3867;101,4204;107,8838;0,2842;0,1421;0,1421
JPN;Japan;1;2000;4,733;26850,23;33874,97;3,41E+17;27,3848;22,5582;32,7583;31,419;2,33E+11;2,45E+11;4,49E+11;2,24E+11;1,51E+11;4,49E+11;8,99E+11;3,97E+11;4,57E+11;10,198;10,4304;103,9998;108,7939;0,2639;0,132;0,132
JPN;Japan;1;2005;4,425;31754,9;35664;4,06E+18;24,601;21,6449;30,1994;27,839;3,37E+11;2,52E+11;5,46E+11;3,42E+11;1,67E+11;5,46E+11;1,09E+12;4,2E+11;6,79E+11;10,3658;10,4819;107,4499;109,8702;0,2692;0,1346;0,1346
JPN;Japan;1;2010;5,058;35157,27;35883,02;4,49E+18;21,3297;20,833;28,4446;25,686;5,15E+11;2,45E+11;6,8E+11;4,73E+11;2,04E+11;6,8E+11;1,36E+12;4,5E+11;9,88E+11;10,4676;10,488;109,5704;109,9986;0,3031;0,1516;0,1516
JPN;Japan;1;2015;3,375;40392,16;37931,76;5,13E+18;23,7748;20,7192;28,8978;25,908;3,99E+11;2,2E+11;5,45E+11;4,11E+11;1,97E+11;5,45E+11;1,09E+12;4,17E+11;8,1E+11;10,6064;10,5435;112,4955;111,1663;0,2124;0,1062;0,1062
KAZ;Kazakhstan;0;1995;10,983;6087,3;8349,06;95423000000;23,054;14,607;29,9977;15,56;651258396;1672126536;1993859169;375757612;752902013;1993859169;3987718338;2425028549;1027016008;8,714;9,0299;75,9331;81,5392;0,0418;0,0209;0,0209
KAZ;Kazakhstan;0;2000;12,753;7890,1;9954,36;1,17E+11;17,3183;16,4883;37,7758;16,084;2308002600;4080311800;13841000;813342630;1610640073;13841000;27682000;5690951873;3121345230;8,9734;9,2058;80,5213;84,7461;0,0002;0,0001;0,0001
KAZ;Kazakhstan;0;2005;8,1;14178,08;15923,44;2,16E+11;27,9646;12,0414;37,628;18,005;4677597784;19094742499;3339949218;3762384470;5827564183;3339949218;6679898436;24922306682;8439982254;9,5595;9,6755;91,3831;93,6162;0,031;0,0155;0,0155
KAZ;Kazakhstan;0;2010;5,783;19530,31;19933,48;3,21E+11;24,3273;11,3213;40,6024;18,716;14008462553;37190859131;6688050324;10323718845;10390700159;6688050324;13376100648;47581559290;24332181398;9,8797;9,9002;97,6089;98,0131;0,0417;0,0208;0,0208
