Processo;Beneficiario;ano_GD_ben;Titulo_Processo;Area;UF_ Destino;PQ;Ano Lattes;Papers ;Papers_no_tema;Livros;Livros_tema;Capitulos;Capítulos tema;IC;IC_tema;GM;GM_tema;GD;GD_tema;ultima_prod_tema;ultima_ orient_tema;Tese;Orientador;Producoes;Producoes_tema;Orientacoes;Orientacoes_tema ;IES_GD;IES_Vinculo;prod_Geral;prdo_Tema;orient_Geral;orient_Tema;Prod_total;Orient_total
402935/2005-5;Jane Felipe Beltrão;1999;Sexualidade e Direitos Humanos: o dito por escrito na pratica juridica;Antropologia;PA;PQ-1C/ CA;2018;35;4;24;3;48;10;21;4;20;6;11;1;2017;2018;Cólera, o flagelo da Belém do Grão-Pará;Sidney Chalhoub;19;0;19;3;UNICAMP;UFPA;107;17;52;11;126;30
403263/2005-0;José Alcides Figueiredo Santos;2000;CLASSE SOCIAL, RACA E DESIGUALDADE DE GENERO NO BRASIL;Sociologia;MG;PQ-2;2018;20;4;0;0;13;0;20;5;30;2;2;0;2010;2016; Estrutura de Posições de Classe no Brasil: Mapeamento, Mudanças e Efeitos na Renda; Nelson do Valle Silva;6;0;0;0;IUPERJ;UFJF;33;4;52;7;39;7
403267/2005-6;Joseli Maria Silva;2002;FEMINIZACAO DAS PERIFERIAS POBRES: GENERO E SEXUALIDADE COMO ELEMENTOS PARA DESENVOLVIMENTO DE POLITICAS URBANAS CONTEMPORANEAS.;Geografia;PR;PQ-2;2018;61;48;9;8;34;30;21;15;18;12;5;5;2018;2018;A Verticalização de Guarapuava PR e Suas Representações Sociai;Roberto Lobato Corrêa;2;2;4;3;UFRJ;UEPG;104;86;44;32;106;36
403206/2005-7;Katia Regina Frizzo;2004;LAZER E RELACOES DE GENERO NO MEIO RURAL;Psicologia;SC;;2018;1;0;0;0;6;0;1;0;3;0;0;0;2005;; Conselho Tutelar e Comunidade: o impacto do conselho nas práticas sociais com crianças e adolescentes;Jorge Castellá Sarriera;0;0;0;0;PUC/RS;SV;7;0;4;0;7;0
403154/2005-7;Lady Selma Ferreira Albernaz;2004;Mulheres e cultura popular: genero, raca, classe e geracao no bumba meu boi do Maranhao;Antropologia;PE;;2018;11;3;3;3;11;6;9;6;19;11;3;2;2016;2018;"O ""urrou"" do boi em Atenas: instiuições, experiencias culturais e identidade no Maranhão";Suely Kofes;0;0;0;0;UNICAMP;UFPE;25;12;31;19;25;19
402981/2005-7;Laura Moutinho;2001;Raca, sexualidade, genero e saude em uma perspectiva comparada;Saúde Coletiva;RJ;PQ-1D;2018;14;6;7;5;8;4;20;12;10;7;4;1;2016;2016;"Razão, ""Cor"" e Desejo: uma Análise Comparativa sobre Relacionamentos Afetivos-Sexuais ""inter-raciais"" no Brasil e na África do Sul";Peter Henry Fry;19;10;5;5;UFRJ;USP;29;15;34;20;48;25
403080/2005-3;Lígia Albuquerque de Melo;2003;A Participacao da Mulher Agricultora Familiar no Credito do Pronaf B e Pronaf Mulher;Sociologia;PE;;2017;1;1;0;0;3;2;10;9;0;0;0;0;2015;2012;Relações de Gênero na Agricultura Familiar: o caso do Pronaf em Afogados da Ingazeira - PE;Russell Parry Scott;5;5;1;1;UFPE;FJN;4;3;10;9;9;10
402949/2005-6;Lourdes de Maria Leitão Nunes Rocha;2005;Mulheres, Organizacao e Mundo do Trabalho: processos de lutas e participacao;Serviço Social;MA;;2018;5;4;2;2;4;3;4;4;7;3;3;2;2017;2017;Violência de gênero e políticas públicas no Brasil: um estudo sobre as casas-abrigo para mulheres em situação de violência doméstica;Terezinha Moreira Lima;1;1;0;0;UFMA;UFMA;11;9;14;9;12;9
402964/2005-5;Ludmila Fontenele Cavalcanti;2004;AVALIACAO DOS NUCLEOS DE ATENCAO AS MULHERES EM SITUACAO DE VIOLENCIA SEXUAL NAS MATERNIDADES MUNICIPAIS DO RIO DE JANEIRO;Saúde Coletiva;RJ;;2018;15;14;6;1;18;14;22;22;8;6;2;1;2017;2018; Estudo das representações sociais na prevenção da violência sexual: assistência pré-natal no Município do Rio de Janeiro;Maria Cecília de Souza Minayo;2;2;5;5;FIOCRUZ;UFRJ;39;29;32;29;41;34
402937/2005-8;Luis Felipe Rios do Nascimento;2004;Pesquisa avaliativa das respostas relacionadas ao sexual, com atores de instituicoes governamentais responsaveis pela garantia dos direitos da crianca e do adolescente no Recife;Psicologia;PE;;2018;28;26;10;7;37;23;22;22;26;22;6;3;2018;2018;O Feitiço de Exu. Um estudo comparativo sobre parcerias e práticas homossexuais entre homens jovens candomblesistas e/ou integrantes da comunidade entendida do Rio de Janeiro;Richard Guy Parker;10;10;1;1;UERJ;UFPE;75;56;54;47;85;48
402953/2005-3;Luiz Mello de Almeida Neto;1999;Familia, genero e orientacao sexual - um estudo sobre relacoes afetivo-sexuais nao centradas na monogamia.;Sociologia;GO;;2018;20;18;4;3;6;4;2;2;7;6;0;0;2017;2011;Família no Brasil dos Anos 90: um estudo sobre a construção social da conjugalidade homossexual;Brasilmar Ferreira Nunes;9;8;4;3;UnB;UFG;30;25;9;8;39;12
403081/2005-0;Magda Eva Soares de Faria Wehrmann;2000;Genero e representacao social do desenvolvimento rural sustentavel;Sociologia;DF;;2013;2;0;0;0;8;0;0;0;3;0;3;0;;; A soja no cerrado de Roraima: um estudo da penetração da agricultura moderna em regiões de fronteira;Laura Maria Goulart Duarte;6;0;5;0;UnB;UnB;10;0;6;0;16;5
402974/2005-0;Márcia Ramos Arán;2001;Analise dos sistemas de sexo-genero nos discursos sobre Transexualidade nas praticas de saudede;Saúde Coletiva;RJ;;2010;15;13;1;1;3;3;0;0;6;3;2;1;2010;2010;O Avesso do Avesso: feminilidade e novas formas de subjetivação;Joel Birman;12;12;1;1;UERJ;UERJ;19;17;8;4;31;5
403127/2005-0;Marco Aurélio Máximo Prado;2000;Identidade Coletiva e Politica: Genero e Demandas Democraticas em Diferentes Experiencias de Mobilizacao Social;Psicologia;MG;PQ-2;2018;27;19;8;4;27;14;18;15;20;17;8;5;2018;2018;Des-razão: sujeitos da consciência e políticas de identificação. Um mapa teórico sobre o sujeito coletivo e o político na literatura acerca das ações coletivas;Salvador Antonio Meirelles Sandoval;12;1;9;5;PUC/SP;UFMG;62;37;46;37;74;46
403102/2005-7;Marcos Fábio Freire Montysuma;2003;Visoes de Genero na utilizacao dos recursos ambientais na Amazonia: uma ponte entre Acre e Tocantins(1964-2006);História;SC;;2018;5;1;3;1;17;7;3;0;8;2;19;2;2014;2015;Senhores das Matas: Expeirências Extrativistas na RESEX Chico Mendes (1983/2002);Maria Antonieta Matinez Antonacci;2;0;0;0;PUC/SP;UFSC;25;9;30;4;27;4
403221/2005-6;Marga Janete Ströher;2002;O papel da religiao e do discurso religioso na producao e na reproducao da violencia sexista e a desconstrucao do discurso e dos simbolos religiosos para a superacao da violencia;Teologia;RS;;2014;3;0;3;0;4;3;0;0;8;3;0;0;2008;2009; Caminhos de resistência nas fronteiras do poder normativo - Um Estudo das Cartas Pastorais em perspectiva feminista;Uwe Wegner;7;4;0;0;EST;DSH/PR;10;3;8;3;17;3
403054/2005-2;Maria Angela de Faria Grillo;2005;As amas-de-leite entre a casa e a rua: trabalho feminino e maternidade no Recife (1870-1880);História;PE;;2018;4;1;4;1;9;3;9;1;10;1;0;0;2007;2013;A Arte do Povo:histórias na literatura do cordel (1900/1940);Rachel Soihet;1;1;1;0;UFF;UFRPE;17;5;19;2;18;3
403239/2005-2;Maria Antônia Cardoso Nascimento;2000;Familia, genero e prostituicao: entre a modernizacao e permanencia de estruturas de poder na Amazonia.;Serviço Social;PA;;2018;8;4;3;0;9;0;7;4;23;13;1;0;2016;2017;Crianças e Adolescentes: imbricamento classe-raça-etnia-gênero nos programas sociais em Belém;Dilsea Bonetti;5;3;7;2;PUC/SP;UFPA;20;4;31;17;25;24
403176/2005-0;Maria do Rosario de Fátima Andrade Leitão;1998;CONFLITOS DE GENERO NO COTIDIANO DA COMUNIDADE COSTEIRA: A VER- O- MAR;Sociologia;PE;;2018;12;6;8;5;33;20;12;10;17;6;1;1;2017;2014;Movimiento Obrero en Pernambuco - 1930 -1945;José Luis Rubio Cordón;8;0;7;0;Universidad Complutense de Madrid;UFRPE;53;31;30;17;61;24
401880/2005-2;Maria Helena Braga e Vaz da Costa;2000;A MULHER, O ESPACO URBANO E O CINEMA;Artes;RN;PQ-2;2018;40;2;3;0;14;0;35;4;14;0;1;0;2009;2008;Cities in Motion: Towards an Understanding of the Cinematc Cit;Simon Rycroft;15;0;8;1;University of Sussex;UFRN;57;2;50;4;72;12
403029/2005-8;Maria Helena de Paula Frota;2000;O femicidio no Ceara: machismo e impunidade?;Sociologia;CE;;2018;12;11;13;11;3;3;11;1;43;29;0;0;2017;2017; Las Castañeras: el proceso de socialización del trabajo femenino en la industria de la castaña en Ceará - Brasil; Mariano Fernández Enguita;11;8;8;4;Universidad de Salamanca;UECE;28;25;54;30;39;38
403091/2005-5;Maria Ignez Costa Moreira;2001;Solidariedade e Conflito: Relacoes Intergeracionais entre pais e filhos jovens;Psicologia;MG;;2018;22;12;8;3;42;18;6;0;28;9;4;2;2018;2018;Gravidez na Adolescência: Análise das Significações Construídas ao longo de gerações de mulheres;Silvia Tatiana Maurer Lane;8;5;5;1;PUC/SP;PUC/MG;72;33;38;11;80;16
403015/2005-7;Maria Inês Couto de Oliveira;2001;Genero, Poder e Cidadania: a mulher e sujeito no processo decisorio da amamentacao ao nascimento quando o status de HIV e ignorado pelo servico?;Saúde Coletiva;RJ;;2018;35;4;1;0;5;0;8;1;21;1;3;1;2015;2015;Promoção, proteção e apoio à amamentação na atenção básica à saúde: bases teóricas e metodologia de avaliação;Luiz Antonio Bastos Camacho;0;0;0;0;FIOCRUZ;UFF;41;4;32;3;41;3
403013/2005-4;Maria Ivonete Barbosa Tamboril;2005;Mulheres camponesas nos movimentos social e sindical do campo;Psicologia;RO;;2017;3;1;3;0;9;2;11;11;10;2;0;0;2014;2017;Políticas públicas para a formação docente: um estudo em Porto Velho-RO;Lino de Macedo;1;0;0;0;USP;UNIR;15;3;21;13;16;13
401865/2005-3;Maria Lucia da Silveira;1999;Politicas Publicas de Igualdade de Oportunidades: A insercao de politicas de genero em tres metropolis da America Latina;Sociologia;SP;;2012;0;0;0;0;3;3;0;0;0;0;0;0;2008;2005;Itinerários de Gênero eRe-significação da cidadania;Leila Maria da Silva Blass;6;6;2;2;PUC/SP;Pref.Mun.SP;3;3;0;0;9;2
403224/2005-5;Maria Luzia Miranda Álvares;2004;Genero, Politica e Representacoes Sociais;Ciência Política;PA;;2018;12;12;5;3;13;12;9;3;1;1;0;0;2014;2015;Mulheres na competição eleitoral. Seleção de candidaturas e padrão de carreira política no Brasil;Jairo Marconi Nicolau;1;1;0;0;IUPERJ;UFPA;30;27;10;4;31;4
403104/2005-0;Mário José Filho;1998;Os papeis exercidos pelos homens nas familias incluidas no PETI formadas ha mais de quatro anos.;Serviço Social;SP;;2011;8;1;4;0;10;0;8;5;4;1;6;2;2006;2008; A Família como espaço privilegiado para a construção da cidadania;Maria Lúcia Martinelli;25;2;28;6;UNESP;UNESP;22;1;18;8;47;36
402941/2005-5;Marlene de Fáveri;2002;Grupos  populares e equidade de genero: um estudo  sobre relacoes de genero na Educacao de Jovens e Adultos em Florianopolis;Educação;SC;;2018;18;9;3;3;10;8;7;5;12;8;0;0;2016;2017; Memórias de uma (outra) guerra: cotidiano e medo durante a Segunda Guerra em Santa Catarina;Joana Maria Pedro;9;2;3;0;UFSC;UDESC;31;20;19;13;40;16
